"dataset","nlayers","learningrate","testAccuracy","nhidden","valAccuracy","layerForm"
"adult",2,1,0.849947273731232,1024,0.857928591966629,"cone"
"adult",2,1,0.849026083946228,512,0.857348102331162,"cone"
"adult",3,1,0.847920417785645,1024,0.855789870023728,"cone"
"adult",3,0.01,0.848903179168701,256,0.85569823384285,"cone"
"adult",8,1,0.851605653762817,1024,0.855453813076019,"rect"
"adult",4,1,0.85277259349823,256,0.855331587791443,"rect"
"adult",2,1,0.852526962757111,256,0.854781609773636,"rect"
"adult",16,0.1,0.848227500915527,256,0.854414993524552,"cone"
"adult",2,1,0.843620896339417,256,0.854140019416809,"cone"
"adult",2,0.01,0.846507728099823,256,0.853803932666779,"cone"
"adult",3,0.1,0.850315809249878,512,0.853681719303131,"cone"
"adult",4,1,0.851851344108582,512,0.853498411178589,"cone"
"adult",32,0.1,0.847797632217407,512,0.853437292575836,"rect"
"adult",16,0.01,0.843743741512299,512,0.853192865848541,"cone"
"adult",2,0.01,0.848350346088409,512,0.8531623005867,"cone"
"adult",3,1,0.851360023021698,512,0.853009539842606,"cone"
"adult",16,1,0.849640130996704,512,0.85285679101944,"rect"
"adult",3,0.01,0.843743681907654,1024,0.85239851474762,"cone"
"adult",4,1,0.850500106811523,256,0.852215176820755,"cone"
"adult",32,0.01,0.842085421085358,512,0.852123522758484,"rect"
"adult",3,1,0.851052939891815,256,0.851940184831619,"cone"
"adult",2,0.1,0.847306251525879,256,0.851817965507507,"cone"
"adult",3,0.1,0.848780333995819,256,0.8516346514225,"cone"
"adult",32,0.01,0.84706050157547,256,0.851451361179352,"rect"
"adult",4,1,0.84620064496994,1024,0.851420813798904,"cone"
"adult",3,1,0.839689970016479,256,0.851298570632935,"rect"
"adult",3,1,0.854123950004578,512,0.851115298271179,"rect"
"adult",3,0.1,0.847981810569763,1024,0.850901407003403,"cone"
"adult",2,0.01,0.848780333995819,256,0.850840324163437,"rect"
"adult",32,0.01,0.842085421085358,1024,0.850748628377915,"rect"
"adult",8,1,0.834346234798431,256,0.850687527656555,"rect"
"adult",2,0.1,0.848964512348175,512,0.850626403093338,"cone"
"adult",32,0.1,0.842822551727295,256,0.85029034614563,"rect"
"adult",4,0.01,0.848227500915527,256,0.849709814786911,"cone"
"adult",2,0.1,0.848596036434174,1024,0.849618196487427,"cone"
"adult",4,0.1,0.84853458404541,256,0.849618172645569,"cone"
"adult",32,0.1,0.842085361480713,1024,0.849557048082352,"rect"
"adult",8,0.1,0.845647811889648,256,0.848732149600983,"cone"
"adult",8,0.01,0.842269599437714,256,0.848701578378677,"cone"
"adult",2,0.01,0.847920417785645,1024,0.848579382896423,"cone"
"adult",16,0.01,0.843621015548706,256,0.84799884557724,"cone"
"adult",4,0.1,0.846016347408295,512,0.847907215356827,"cone"
"adult",3,0.01,0.846630573272705,512,0.847448927164078,"cone"
"adult",4,0.1,0.839567124843597,1024,0.847418361902237,"cone"
"adult",8,1,0.836188971996307,512,0.847173929214478,"rect"
"adult",16,0.01,0.8407341837883,256,0.847021150588989,"rect"
"adult",16,1,0.849701642990112,256,0.846776723861694,"rect"
"adult",8,0.01,0.841164112091064,512,0.846685099601746,"cone"
"adult",4,0.01,0.842085361480713,256,0.846501791477204,"rect"
"adult",16,0.1,0.833240747451782,512,0.846501785516739,"cone"
"adult",2,0.01,0.845463573932648,512,0.846379542350769,"rect"
"adult",3,0.01,0.846630573272705,256,0.846348989009857,"rect"
"adult",8,0.1,0.837785959243774,512,0.846135157346726,"cone"
"adult",16,0.1,0.841041207313538,1024,0.845921272039414,"cone"
"adult",2,1,0.839567065238953,512,0.845707386732101,"rect"
"adult",3,0.1,0.848780274391174,256,0.845493507385254,"rect"
"adult",32,1,0.846384882926941,512,0.845462960004807,"cone"
"adult",2,0.1,0.846016407012939,256,0.845401871204376,"rect"
"adult",8,0.1,0.841532647609711,1024,0.845279622077942,"cone"
"adult",32,0.01,0.842822432518005,512,0.845096337795258,"cone"
"adult",3,1,0.819298088550568,1024,0.845065766572952,"rect"
"adult",4,0.01,0.841593980789185,512,0.844974148273468,"cone"
"adult",16,0.1,0.844849348068237,256,0.844882452487946,"rect"
"adult",3,0.1,0.835758984088898,512,0.844515824317932,"rect"
"adult",2,0.01,0.842883884906769,1024,0.844515788555145,"rect"
"adult",16,1,0.796695172786713,256,0.844424146413803,"cone"
"adult",2,0.1,0.819973766803741,512,0.844118624925613,"rect"
"adult",8,1,0.841102659702301,256,0.843874228000641,"cone"
"adult",8,0.01,0.836434662342072,1024,0.842468774318695,"cone"
"adult",2,0.1,0.832687973976135,1024,0.842193806171417,"rect"
"adult",16,0.01,0.842453896999359,1024,0.842193794250488,"cone"
"adult",8,0.1,0.840857028961182,256,0.841277205944061,"rect"
"adult",16,1,0.818622529506683,1024,0.841124457120895,"cone"
"adult",4,0.1,0.836004734039307,256,0.841063350439072,"rect"
"adult",3,0.1,0.840181350708008,1024,0.840757811069489,"rect"
"adult",4,0.01,0.841164112091064,1024,0.840452283620834,"cone"
"adult",8,0.01,0.835083305835724,256,0.840421724319458,"rect"
"adult",4,1,0.846200585365295,512,0.840421724319458,"rect"
"adult",4,0.1,0.841716885566711,1024,0.84014675617218,"rect"
"adult",16,0.1,0.833363592624664,1024,0.840085643529892,"rect"
"adult",2,1,0.844296514987946,1024,0.839780110120774,"rect"
"adult",16,0.01,0.836127579212189,512,0.838985723257065,"rect"
"adult",3,0.01,0.838093042373657,512,0.838649666309357,"rect"
"adult",8,1,0.832380771636963,1024,0.837763613462448,"cone"
"adult",16,0.1,0.840119957923889,512,0.837549751996994,"rect"
"adult",4,0.01,0.83502197265625,512,0.837030357122421,"rect"
"adult",3,0.01,0.832687973976135,1024,0.83690812587738,"rect"
"adult",32,0.01,0.825993061065674,1024,0.836847025156021,"cone"
"adult",8,0.1,0.838031589984894,512,0.836541509628296,"rect"
"adult",4,0.1,0.841593980789185,512,0.83651095032692,"rect"
"adult",16,1,0.821939289569855,512,0.836174863576889,"cone"
"adult",8,0.1,0.83754026889801,1024,0.835899889469147,"rect"
"adult",16,0.01,0.830845355987549,1024,0.835013854503632,"rect"
"adult",4,1,0.827282905578613,1024,0.833608371019363,"rect"
"adult",8,0.01,0.832442283630371,512,0.832875126600266,"rect"
"adult",8,1,0.829432666301727,512,0.829728156328201,"cone"
"adult",8,0.01,0.828388512134552,1024,0.829330980777741,"rect"
"adult",4,0.01,0.831275224685669,1024,0.828292161226273,"rect"
"adult",32,0.1,0.763773381710052,256,0.775557661056519,"cone"
"adult",32,0.01,0.763773322105408,256,0.775435447692871,"cone"
"adult",32,0.1,0.763773381710052,1024,0.775435447692871,"cone"
"adult",32,1,0.763773381710052,1024,0.775435447692871,"cone"
"adult",32,1,0.763773381710052,1024,0.775435447692871,"rect"
"adult",32,1,0.763773381710052,512,0.775435447692871,"rect"
"adult",32,1,0.763773381710052,256,0.775435447692871,"cone"
"adult",32,0.1,0.763773381710052,512,0.775435441732407,"cone"
"adult",32,1,0.763773381710052,256,0.775435441732407,"rect"
"adult",16,1,0.596830546855927,1024,0.629605928063393,"rect"
