"dataset","layerForm","valAccuracy","testAccuracy","nlayers","nhidden","learningrate"
"connect-4","rect",0.885569971799851,0.872935593128204,8,256,1
"connect-4","cone",0.883294600248337,0.879211783409119,8,1024,1
"connect-4","cone",0.883100122213364,0.877139449119568,4,1024,1
"connect-4","rect",0.882925087213516,0.876784205436707,2,1024,1
"connect-4","cone",0.882847291231155,0.879626274108887,3,1024,1
"connect-4","cone",0.882672256231308,0.875718414783478,3,512,1
"connect-4","cone",0.881738775968552,0.871632933616638,8,512,1
"connect-4","rect",0.881622093915939,0.877435445785522,4,512,1
"connect-4","cone",0.881583195924759,0.875718414783478,4,512,1
"connect-4","cone",0.881583189964295,0.878027558326721,3,256,1
"connect-4","rect",0.881524831056595,0.878086805343628,4,256,1
"connect-4","cone",0.880766373872757,0.878560543060303,4,256,1
"connect-4","cone",0.879988491535187,0.872284233570099,2,1024,0.1
"connect-4","rect",0.879969030618668,0.877553939819336,2,256,1
"connect-4","rect",0.879910689592362,0.876488149166107,3,512,1
"connect-4","cone",0.87979399561882,0.878264486789703,2,512,1
"connect-4","rect",0.87923002243042,0.864054024219513,3,1024,1
"connect-4","cone",0.878918862342834,0.869442164897919,2,256,0.1
"connect-4","rect",0.878432667255402,0.879152536392212,4,1024,1
"connect-4","rect",0.878374308347702,0.875422358512878,3,256,1
"connect-4","rect",0.878335416316986,0.868494749069214,2,512,1
"connect-4","cone",0.878315967321396,0.882113099098206,8,256,1
"connect-4","rect",0.878296518325806,0.874119699001312,4,1024,0.1
"connect-4","cone",0.878121495246887,0.873942136764526,16,256,1
"connect-4","cone",0.878102070093155,0.878738105297089,2,1024,1
"connect-4","rect",0.876974081993103,0.871573686599731,2,256,0.1
"connect-4","cone",0.876196193695068,0.871751368045807,2,512,0.1
"connect-4","cone",0.876137846708298,0.870744705200195,16,512,1
"connect-4","rect",0.876098954677582,0.870863199234009,2,1024,0.1
"connect-4","rect",0.87602111697197,0.870981574058533,8,512,1
"connect-4","cone",0.875846117734909,0.864823698997498,4,512,0.1
"connect-4","rect",0.875768333673477,0.869856595993042,2,512,0.01
"connect-4","cone",0.875729435682297,0.869915843009949,3,1024,0.1
"connect-4","cone",0.875671070814133,0.868731617927551,8,1024,0.1
"connect-4","rect",0.875534969568253,0.874948620796204,3,1024,0.1
"connect-4","cone",0.875184917449951,0.87121844291687,3,256,0.1
"connect-4","rect",0.874620938301087,0.870034217834473,16,512,0.1
"connect-4","cone",0.874445885419846,0.874593496322632,16,1024,1
"connect-4","rect",0.874309760332108,0.868968486785889,3,512,0.1
"connect-4","cone",0.874076366424561,0.867843508720398,8,512,0.1
"connect-4","cone",0.874056953191757,0.873349964618683,2,256,1
"connect-4","cone",0.873920810222626,0.8669553399086,3,512,0.1
"connect-4","cone",0.873512399196625,0.869501411914825,4,1024,0.1
"connect-4","cone",0.873259568214417,0.869560539722443,16,512,0.1
"connect-4","cone",0.872637248039246,0.872402608394623,2,1024,0.01
"connect-4","rect",0.872423326969147,0.862751305103302,16,256,0.1
"connect-4","cone",0.871898245811462,0.864350020885468,8,256,0.1
"connect-4","cone",0.871859335899353,0.869856655597687,16,256,0.1
"connect-4","rect",0.871587097644806,0.872165858745575,4,512,0.1
"connect-4","rect",0.87150930762291,0.868553996086121,3,256,0.1
"connect-4","rect",0.871509277820587,0.864409208297729,4,1024,0.01
"connect-4","rect",0.871275907754898,0.861863136291504,2,1024,0.01
"connect-4","rect",0.871061998605728,0.865060567855835,2,512,0.1
"connect-4","cone",0.870575797557831,0.860856652259827,4,256,0.1
"connect-4","rect",0.870186823606491,0.870271027088165,3,512,0.01
"connect-4","cone",0.870128512382507,0.867073714733124,16,1024,0.1
"connect-4","rect",0.870109063386917,0.86553430557251,4,256,0.1
"connect-4","rect",0.870109063386917,0.870626330375671,16,256,1
"connect-4","cone",0.870031261444092,0.864646077156067,2,512,0.01
"connect-4","rect",0.8698173224926,0.865179002285004,8,512,0.1
"connect-4","rect",0.869253361225128,0.865356683731079,2,256,0.01
"connect-4","cone",0.869156122207642,0.86600798368454,3,1024,0.01
"connect-4","rect",0.869078332185745,0.868494749069214,16,1024,0.1
"connect-4","rect",0.868864411115646,0.866836845874786,3,1024,0.01
"connect-4","cone",0.868611580133438,0.864942133426666,3,512,0.01
"connect-4","rect",0.867230802774429,0.864231646060944,8,1024,0.1
"connect-4","cone",0.86664736866951,0.858784317970276,4,512,0.01
"connect-4","cone",0.866569566726685,0.858843445777893,4,1024,0.01
"connect-4","cone",0.866083401441574,0.867014527320862,3,256,0.01
"connect-4","rect",0.864799827337265,0.864113211631775,3,256,0.01
"connect-4","rect",0.864430344104767,0.857244729995728,4,512,0.01
"connect-4","rect",0.864041370153427,0.862573742866516,8,256,0.1
"connect-4","cone",0.863924705982208,0.864882946014404,16,1024,0.01
"connect-4","cone",0.863477385044098,0.86221843957901,8,1024,0.01
"connect-4","cone",0.862932860851288,0.858310580253601,2,256,0.01
"connect-4","rect",0.862038272619247,0.860738277435303,16,1024,0.01
"connect-4","rect",0.861843782663345,0.857363283634186,8,512,0.01
"connect-4","rect",0.861843764781952,0.860679090023041,8,1024,0.01
"connect-4","cone",0.860890859365463,0.8586066365242,8,512,0.01
"connect-4","rect",0.86030741930008,0.852567195892334,32,1024,0.01
"connect-4","rect",0.85980179309845,0.860146105289459,4,256,0.01
"connect-4","cone",0.8582459628582,0.853632986545563,4,256,0.01
"connect-4","rect",0.857429164648056,0.859080255031586,32,512,0.01
"connect-4","cone",0.85739027261734,0.854994773864746,16,512,0.01
"connect-4","rect",0.857370817661285,0.859435558319092,16,512,0.01
"connect-4","cone",0.856592923402786,0.853218555450439,16,256,0.01
"connect-4","cone",0.855289912223816,0.851027727127075,8,256,0.01
"connect-4","rect",0.851886588335037,0.843685746192932,8,256,0.01
"connect-4","rect",0.85114758014679,0.842383027076721,16,256,0.01
"connect-4","rect",0.850097382068634,0.845106661319733,32,256,0.01
"connect-4","rect",0.842785036563873,0.846882998943329,32,256,0.1
"connect-4","cone",0.763321816921234,0.753804564476013,32,1024,0.01
"connect-4","cone",0.763321816921234,0.753804564476013,32,512,0.01
"connect-4","cone",0.763321816921234,0.753804564476013,32,256,0.01
"connect-4","cone",0.763321816921234,0.753804564476013,32,1024,0.1
"connect-4","cone",0.763321816921234,0.753804564476013,32,512,0.1
"connect-4","cone",0.763321816921234,0.753804564476013,32,256,0.1
"connect-4","cone",0.763321816921234,0.753804564476013,32,1024,1
"connect-4","rect",0.763321816921234,0.753804564476013,32,1024,1
"connect-4","cone",0.763321816921234,0.753804564476013,32,512,1
"connect-4","rect",0.763321816921234,0.753804564476013,32,512,1
"connect-4","cone",0.763321816921234,0.753804564476013,32,256,1
"connect-4","rect",0.763321816921234,0.753804564476013,32,256,1
"connect-4","rect",0.758537662029266,0.751495361328125,32,512,0.1
"connect-4","rect",0.731485909223556,0.708212673664093,32,1024,0.1
"connect-4","rect",0.703928527235985,0.743265092372894,16,512,1
"connect-4","rect",0.689070498943329,0.753804564476013,16,1024,1
"connect-4","rect",0.602606067061424,0.400438070297241,8,1024,1
